Gregory,Joshua,Steven,Jason,Brenda,Stacey,Amy,Richard,Allison,Brandon,Alyssa,Tiffany,Alan,Cody,Randy,Andrea,Kevin,Melanie (2),Cassandra,Theresa
0.05,0.05,0.08,0.05,0.02,0.03,0.03,0.05,0.05,0.02,0.03,0.02,0.05,0.02,0.05,0.02,0.05,0.05,0.05,0.02
0.99,0.0,0.02,0.03,0.06,0.0,0.0,0.0,0.06,0.03,0.0,0.0,0.02,0.0,0.02,0.03,0.03,0.0,0.03,0.0
0.02,0.0,0.02,0.02,0.05,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.0,0.02,0.05,0.02,0.0,0.02,0.0
0.05,0.05,0.06,0.08,0.02,0.05,0.02,0.06,0.05,0.02,0.05,0.02,0.06,0.06,0.99,0.02,0.05,0.05,0.08,0.02
0.06,0.06,0.08,0.06,0.03,0.02,0.02,0.05,0.06,0.03,0.02,0.02,0.05,0.02,0.05,0.03,0.06,0.05,0.06,0.03
0.02,0.02,0.02,0.02,0.02,0.05,0.02,0.02,0.02,0.98,0.02,0.05,0.02,0.02,0.05,0.02,0.05,0.02,0.02,0.05
0.06,0.06,0.05,0.06,0.03,0.02,0.02,0.05,0.06,0.06,0.95,0.05,0.05,0.02,0.08,0.03,0.09,0.05,0.06,0.06
0.03,0.0,0.02,0.03,0.03,0.0,0.0,0.0,0.03,0.06,0.0,0.0,0.02,0.0,0.05,0.03,0.06,0.0,0.03,0.0
0.06,0.0,0.05,0.06,0.03,0.0,0.0,0.0,0.06,0.03,0.0,0.0,0.08,0.0,0.05,0.06,0.06,0.0,0.06,0.0
0.06,0.06,0.05,0.09,0.03,0.05,0.02,0.05,0.06,0.03,0.05,0.02,0.05,0.98,0.05,0.03,0.06,0.05,0.09,0.03
0.06,0.06,0.05,0.09,0.03,0.05,0.02,0.05,0.06,0.03,0.05,0.02,0.05,0.05,0.05,0.03,0.06,0.05,0.09,0.03
0.05,0.0,0.05,0.05,0.02,0.0,0.0,0.0,0.05,0.02,0.0,0.0,0.08,0.0,0.05,0.05,0.05,0.0,0.05,0.0
0.06,0.0,0.08,0.06,0.03,0.0,0.0,0.0,0.06,0.03,0.0,0.0,0.05,0.0,0.05,0.03,0.06,0.0,0.06,0.0
0.05,0.05,0.09,0.05,0.02,0.02,0.02,0.06,0.05,0.02,0.02,0.02,0.06,0.03,0.06,0.02,0.05,0.05,0.05,0.02
0.05,0.0,0.96,0.02,0.02,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.03,0.0,0.03,0.02,0.02,0.0,0.95,0.0
0.03,0.03,0.02,0.03,0.99,0.02,0.05,0.02,0.03,0.03,0.02,0.95,0.02,0.02,0.02,0.06,0.03,0.02,0.03,0.03
0.03,0.03,0.05,0.03,0.03,0.05,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.03
0.09,0.09,0.05,0.06,0.03,0.02,0.05,0.08,0.09,0.03,0.02,0.02,0.05,0.02,0.05,0.03,0.06,0.08,0.06,0.03
0.03,0.03,0.05,0.03,0.06,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.05,0.02,0.03,0.03,0.02,0.03,0.03
0.03,0.0,0.05,0.03,0.03,0.0,0.0,0.0,0.03,0.06,0.0,0.0,0.02,0.0,0.02,0.03,0.03,0.0,0.03,0.0
0.08,0.08,0.05,0.05,0.02,0.02,0.05,0.08,0.08,0.02,0.02,0.02,0.05,0.02,0.98,0.02,0.05,0.08,0.05,0.02
0.06,0.06,0.05,0.09,0.03,0.05,0.02,0.05,0.06,0.03,0.05,0.02,0.05,0.98,0.05,0.03,0.06,0.05,0.09,0.03
0.06,0.06,0.05,0.09,0.03,0.05,0.02,0.05,0.06,0.03,0.05,0.02,0.05,0.05,0.05,0.96,0.06,0.05,0.09,0.03
0.05,0.05,0.05,0.05,0.02,0.03,0.03,0.05,0.05,0.05,0.03,0.05,0.05,0.02,0.08,0.02,0.08,0.05,0.05,0.05
0.06,0.06,0.05,0.06,0.03,0.02,0.02,0.05,0.06,0.06,0.02,0.05,0.05,0.02,0.08,0.03,0.09,0.05,0.06,0.06
0.02,0.0,0.05,0.02,0.05,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.0,0.02,0.02,0.02,0.0,0.02,0.0
0.03,0.0,0.05,0.03,0.03,0.0,0.0,0.0,0.03,0.06,0.0,0.0,0.02,0.0,0.02,0.03,0.03,0.0,0.03,0.0
0.03,0.03,0.02,0.03,0.06,0.05,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.03
0.03,0.0,0.02,0.03,0.99,0.0,0.0,0.0,0.03,0.06,0.0,0.0,0.02,0.0,0.02,0.03,0.03,0.0,0.03,0.0
0.05,0.05,0.08,0.05,0.02,0.02,0.02,0.05,0.05,0.02,0.02,0.03,0.05,0.02,0.05,0.02,0.05,0.05,0.05,0.02
0.06,0.0,0.02,0.03,0.03,0.0,0.0,0.0,0.06,0.03,0.0,0.0,0.02,0.0,0.02,0.99,0.03,0.0,0.03,0.0
0.03,0.0,0.02,0.06,0.03,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.02,0.0,0.02,0.06,0.03,0.0,0.06,0.0
0.05,0.05,0.05,0.05,0.02,0.02,0.02,0.05,0.05,0.05,0.02,0.05,0.05,0.02,0.08,0.02,0.08,0.05,0.05,0.05
0.06,0.06,0.05,0.06,0.03,0.95,0.02,0.05,0.06,0.06,0.02,0.05,0.05,0.02,0.08,0.03,0.09,0.05,0.06,0.06
